MedID,Medication
1243,Amoxicillin Related Compound I (25 mg) ((R)-2-Amino-2-(4-hydroxyphenyl)acetic acid)
1244,Amoxicillin Related Compound J (15 mg) (Mixture of amoxicillin and amoxicillin related compound J (open ring dimer))
1245,Amoxicillin Related Compounds D and E Mixture (15 mg)
1246,Amphotericin B (125 mg) (COLD SHIPMENT REQUIRED)
1247,Ampicillin (200 mg)
1248,Ampicillin Sodium (125 mg)
1249,Ampicillin System Suitability Mixture (10 mg)
1250,Ampicillin Trihydrate (200 mg)
1251,Amprolium (200 mg)
1252,Amrinone (500 mg) (Inamrinone)
1253,Amrinone Related Compound A (100 mg) (5-carboxamide[3 - 4'-bipyridin]-6(1H)-one) (Inamrinone Related Compound A)
1254,Amrinone Related Compound B (100 mg) (N-(1 - 6-dihydro-6-oxo-(3 - 4'-bipyridine)-5-yl)-2-hydroxypropanamide) (Inamrinone Related Compound B)
1255,Amrinone Related Compound C (50 mg) (1 - 6-dihydro-6-oxo-(3 - 4'-bipyridine)-5-carbonitrile) (Inamrinone Related Compound C)
1256,Anagrelide Hydrochloride (100 mg)
1257,Anagrelide Related Compound A (25 mg) (ethyl 2-(6-amino-2 - 3-dichlorobenzylamino)acetate)
1258,Anagrelide Related Compound B (25 mg) ((2-amino-5 - 6-dichloroquinazolin-3(4H)-yl)acetic acid)
1259,Anagrelide Related Compound C (25 mg) (Ethyl 2-(5 - 6-dichloro-2-imino-1 - 2-dihydroquinazolin-3(4H)-yl)acetate)
1260,Anastrozole (200 mg)
1261,Anastrozole Related Compound A (20 mg) (2 - 2'-(5-methyl-1 - 3-phenylene)bis(2-methylpropanenitrile))
1262,Andrographolide (50 mg)
1263,Anethole (4 x 0.5 mL)
1264,Anhydro Simvastatin (30 mg) ((1S - 3R - 7S - 8S - 8aR)-3 - 7-Dimethyl-8-[2-[(2R)-6-oxo-3 - 6-dihydro-2H-pyran-2-yl]ethyl]-1 - 2 - 3 - 7 - 8 - 8a-hexahydronaphthalen-1-yl 2 - 2-dimethylbutanoate)
1265,Anhydrotetracycline Hydrochloride (25 mg) ((4S  - 4aS  - 12aS )-4-(Dimethylamino)-3 - 10 - 11 - 12a-tetrahydroxy-6-methyl-1 - 12-dioxo-1 - 4 - 4a - 5 - 12 - 12a-hexahydrotetracene-2-carboxamide monohydrochloride)
1266,Anhydrous Lactose (100 mg) (Mixture of alpha and beta anomers)
1267,Anhydrous Sodium Succinate (250 mg)
1268,Anileridine Hydrochloride CII (250 mg)
1269,Aniline (250 mg)
1270,Anisole (1.2 mL/ampule; 3 ampules)
1271,Anisyl Butyrate (5 x 0.5 mL)
1272,Anisyl Phenylacetate (5 x 0.5 mL)
1273,Anisyl Propionate (5 x 0.5 mL)
1274,Antazoline Phosphate (200 mg)
1275,Antazoline Related Compound A (15 mg) (N-(2-Aminoethyl)-2-[benzyl(phenyl)amino]acetamide)
1276,Anthralin (200 mg)
1277,Antipyrine (200 mg)
1278,Antipyrine Related Compound A (25 mg) (3-methyl-1-phenyl-1H-pyrazol-5(4H)-one)
1279,Antithrombin III Human (4.38 IU)
1280,Apigenin (30 mg) (5 - 7-Dihydroxy-2-(4-hydroxyphenyl)-4-benzopyrone)
1281,Apigenin-7-glucoside (30 mg)
1282,Apocarotenal (3 x 50 mg) (Beta-Apo-8'-Carotenal)
1283,Apomorphine Hydrochloride (250 mg)
1284,Apraclonidine Hydrochloride (100 mg)
1285,Aprepitant (150 mg)
1286,Aprepitant Related Compound A (10 mg) (3-[[(2R - 3R)-2-[(R)-1-[3 - 5-Bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholino]methyl]-1H-1 - 2 - 4-triazol-5(4H)-one)
1287,Aprepitant Related Compound B (10 mg) (3-[[(2S - 3R)-2-[(S)-1-[3 - 5-Bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholino]methyl]-1H-1 - 2 - 4-triazol-5(4H)-one)
1288,Arabinose (50 mg)
1289,Arachidyl Alcohol (125 mg)
1290,Argatroban (350 mg)
1291,Argatroban Related Compound A (15 mg) ((2R - 4R)-1-[N8-nitro- N2-(3-methylquinoline-8-sulfonyl)-L-arginyl]-4-methylpiperidine-2-carboxylic acid)
1292,Argatroban Related Compound B (20 mg) (Ethyl (4R)-1-[N^8-nitro-L-arginyl]-4-methylpiperidine-2-carboxylate dihydrochloride)
1293,Argatroban Related Compound C (20 mg) ((2R - 4R)-1-[N^8-amino- N^2-(3-methyl-1 - 2 - 3 - 4-tetrahydroquinoline-8-sulfonyl)-L-arginyl]-4-methylpiperidine-2-carboxylic acid)
1294,Arginine Ethyl Ester Dihydrochloride (250 mg)
1295,Arginine Hydrochloride (125 mg)
1296,Aripiprazole (200 mg)
